station,date,kind,peak_hour_local,fired,trigger_local,trigger_temp,observed_ext_at_trigger,observed_ext_time_local,settled_ext,settled_local,delta_F,abs_delta,trigger_pick,actual_winner,bracket_match,trigger_pick_subtitle,actual_winner_subtitle,settled_bracket_subtitle,trigger_utc,settled_utc,pick_idx,winner_idx,bracket_distance
KORD,2026-01-16,high,13,True,18:03,35.0,37.0,14:07,37.0,14:07,0.0,0.0,no_kalshi_event,,,,,,2026-01-17T00:03:00+00:00,2026-01-16T20:07:00+00:00,,,
KORD,2026-01-17,high,13,False,,,21.0,00:51,21.0,00:51,,,,,,,,,,2026-01-17T06:51:00+00:00,,,
KORD,2026-01-18,high,13,False,,,18.0,21:40,18.0,21:40,,,,,,,,,,2026-01-19T03:40:00+00:00,,,
KORD,2026-01-19,high,13,False,,,18.0,00:18,18.0,00:18,,,,,,,,,,2026-01-19T06:18:00+00:00,,,
KORD,2026-01-20,high,13,True,16:51,18.0,20.0,15:51,24.0,21:51,4.0,4.0,no_kalshi_event,,,,,,2026-01-20T22:51:00+00:00,2026-01-21T03:51:00+00:00,,,
KORD,2026-01-21,high,13,True,22:39,28.0,30.0,22:09,30.0,22:09,0.0,0.0,no_kalshi_event,,,,,,2026-01-22T04:39:00+00:00,2026-01-22T04:09:00+00:00,,,
KORD,2026-01-22,high,13,False,,,24.0,00:37,24.0,00:37,,,,,,,,,,2026-01-22T06:37:00+00:00,,,
KORD,2026-01-23,high,13,False,,,3.0,00:51,3.0,00:51,,,,,,,,,,2026-01-23T06:51:00+00:00,,,
KORD,2026-01-24,high,13,False,,,6.0,14:51,6.0,14:51,,,,,,,,,,2026-01-24T20:51:00+00:00,,,
KORD,2026-01-25,high,13,True,16:51,11.0,14.0,14:34,14.0,14:34,0.0,0.0,no_kalshi_event,,,,,,2026-01-25T22:51:00+00:00,2026-01-25T20:34:00+00:00,,,
